Domain,Group,Field,numpub
Health Sciences,Dentistry,General Dentistry,15
Health Sciences,Dentistry,Oral Surgery,173
Health Sciences,Dentistry,Orthodontics,34
Health Sciences,Dentistry,Periodontics,56
Health Sciences,Health Professions,Complementary and Manual Therapy,19
Health Sciences,Health Professions,Emergency Medical Services,846
Health Sciences,Health Professions,General Health Professions,3481
Health Sciences,Health Professions,Health Information Management,297
Health Sciences,Health Professions,Medical Laboratory Technology,73
Health Sciences,Health Professions,Medical Terminology,11
Health Sciences,Health Professions,Occupational Therapy,259
Health Sciences,Health Professions,Pharmacy,423
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",264
Health Sciences,Health Professions,Radiological and Ultrasound Technology,323
Health Sciences,Health Professions,Speech and Hearing,527
Health Sciences,Medicine,Anatomy,60
Health Sciences,Medicine,Anesthesiology and Pain Medicine,508
Health Sciences,Medicine,Biochemistry (medicine),190
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,4911
Health Sciences,Medicine,Complementary and alternative medicine,481
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,707
Health Sciences,Medicine,Dermatology,711
Health Sciences,Medicine,Emergency Medicine,1455
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",3087
Health Sciences,Medicine,Epidemiology,6436
Health Sciences,Medicine,Family Practice,193
Health Sciences,Medicine,Gastroenterology,462
Health Sciences,Medicine,Genetics (medicine),1541
Health Sciences,Medicine,Geriatrics and Gerontology,223
Health Sciences,Medicine,Health Informatics,93
Health Sciences,Medicine,Hematology,1288
Health Sciences,Medicine,Hepatology,686
Health Sciences,Medicine,Immunology and Allergy,1275
Health Sciences,Medicine,Infectious Diseases,2382
Health Sciences,Medicine,Internal Medicine,371
Health Sciences,Medicine,Microbiology (medicine),9
Health Sciences,Medicine,Nephrology,771
Health Sciences,Medicine,Neurology (medicine),2596
Health Sciences,Medicine,Obstetrics and Gynecology,708
Health Sciences,Medicine,Oncology,4627
Health Sciences,Medicine,Ophthalmology,652
Health Sciences,Medicine,Orthopedics and Sports Medicine,1275
Health Sciences,Medicine,Otorhinolaryngology,382
Health Sciences,Medicine,Pathology and Forensic Medicine,2786
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",2495
Health Sciences,Medicine,Pharmacology (medicine),1387
Health Sciences,Medicine,Physiology (medicine),4531
Health Sciences,Medicine,Psychiatry and Mental health,2171
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",4521
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,6647
