Domain,Group,Field,numpub
Health Sciences,Health Professions,Emergency Medical Services,39
Health Sciences,Health Professions,General Health Professions,167
Health Sciences,Health Professions,Health Information Management,48
Health Sciences,Health Professions,Occupational Therapy,32
Health Sciences,Health Professions,Pharmacy,12
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",29
Health Sciences,Health Professions,Radiological and Ultrasound Technology,32
Health Sciences,Health Professions,Speech and Hearing,36
Health Sciences,Medicine,Anesthesiology and Pain Medicine,22
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,101
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,12
Health Sciences,Medicine,Emergency Medicine,41
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",44
Health Sciences,Medicine,Epidemiology,253
Health Sciences,Medicine,Family Practice,11
Health Sciences,Medicine,Genetics,46
Health Sciences,Medicine,Health Informatics,80
Health Sciences,Medicine,Hematology,9
Health Sciences,Medicine,Hepatology,15
Health Sciences,Medicine,Infectious Diseases,100
Health Sciences,Medicine,Nephrology,16
Health Sciences,Medicine,Neurology,166
Health Sciences,Medicine,Obstetrics and Gynecology,26
Health Sciences,Medicine,Oncology,90
Health Sciences,Medicine,Ophthalmology,15
Health Sciences,Medicine,Orthopedics and Sports Medicine,13
Health Sciences,Medicine,Pathology and Forensic Medicine,37
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",35
Health Sciences,Medicine,Pharmacology,57
Health Sciences,Medicine,Physiology,166
Health Sciences,Medicine,Psychiatry and Mental health,82
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",232
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,181
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",320
Health Sciences,Medicine,Rehabilitation,34
Health Sciences,Medicine,Reproductive Medicine,10
Health Sciences,Medicine,Rheumatology,34
Health Sciences,Medicine,Surgery,204
Health Sciences,Nursing,Nutrition and Dietetics,32
Life Sciences,Agricultural and Biological Sciences,Aquatic Science,30
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",27
Life Sciences,Agricultural and Biological Sciences,Food Science,28
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,17
Life Sciences,Agricultural and Biological Sciences,Insect Science,15
Life Sciences,Agricultural and Biological Sciences,Plant Science,99
Life Sciences,Agricultural and Biological Sciences,Soil Science,9
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,8
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,8
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,167
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,9
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,114
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,159
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,24
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,220
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,1594
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,11
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,90
Life Sciences,Immunology and Microbiology,Immunology,82
Life Sciences,Immunology and Microbiology,Microbiology,29
Life Sciences,Immunology and Microbiology,Parasitology,8
Life Sciences,Immunology and Microbiology,Virology,18
Life Sciences,Neuroscience,Behavioral Neuroscience,27
Life Sciences,Neuroscience,Biological Psychiatry,8
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,373
Life Sciences,Neuroscience,Cognitive Neuroscience,1833
Life Sciences,Neuroscience,Developmental Neuroscience,11
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,24
Life Sciences,Neuroscience,Neurology,103
Life Sciences,Neuroscience,Sensory Systems,53
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,22
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,14
Physical Sciences,Chemical Engineering,Bioengineering,9
Physical Sciences,Chemical Engineering,Catalysis,59
Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes,28
Physical Sciences,Chemistry,Analytical Chemistry,21
Physical Sciences,Chemistry,Electrochemistry,10
Physical Sciences,Chemistry,Inorganic Chemistry,149
Physical Sciences,Chemistry,Organic Chemistry,363
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,54
Physical Sciences,Chemistry,Spectroscopy,71
Physical Sciences,Computer Science,Artificial Intelligence,6590
Physical Sciences,Computer Science,Computational Theory and Mathematics,958
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,158
Physical Sciences,Computer Science,Computer Networks and Communications,1563
Physical Sciences,Computer Science,Computer Science Applications,544
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,2789
Physical Sciences,Computer Science,Hardware and Architecture,476
Physical Sciences,Computer Science,Human-Computer Interaction,591
Physical Sciences,Computer Science,Information Systems,1412
Physical Sciences,Computer Science,Signal Processing,582
Physical Sciences,Computer Science,Software,239
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,544
Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,13
Physical Sciences,Earth and Planetary Sciences,Geochemistry and Petrology,13
Physical Sciences,Earth and Planetary Sciences,Geology,55
Physical Sciences,Earth and Planetary Sciences,Geophysics,24
