Domain,Group,Field,numpub
Health Sciences,Dentistry,Periodontics,70
Health Sciences,Health Professions,Emergency Medical Services,250
Health Sciences,Health Professions,General Health Professions,1730
Health Sciences,Health Professions,Health Information Management,145
Health Sciences,Health Professions,Pharmacy,118
Health Sciences,Health Professions,Radiological and Ultrasound Technology,99
Health Sciences,Health Professions,Speech and Hearing,207
Health Sciences,Medicine,Anesthesiology and Pain Medicine,258
Health Sciences,Medicine,Biochemistry,217
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,2573
Health Sciences,Medicine,Complementary and alternative medicine,140
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,367
Health Sciences,Medicine,Dermatology,767
Health Sciences,Medicine,Emergency Medicine,548
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",849
Health Sciences,Medicine,Epidemiology,3678
Health Sciences,Medicine,Family Practice,84
Health Sciences,Medicine,Gastroenterology,412
Health Sciences,Medicine,Genetics,1467
Health Sciences,Medicine,Geriatrics and Gerontology,241
Health Sciences,Medicine,Health Informatics,251
Health Sciences,Medicine,Hematology,2073
Health Sciences,Medicine,Hepatology,730
Health Sciences,Medicine,Immunology and Allergy,148
Health Sciences,Medicine,Infectious Diseases,2352
Health Sciences,Medicine,Internal Medicine,263
Health Sciences,Medicine,Nephrology,242
Health Sciences,Medicine,Neurology,1723
Health Sciences,Medicine,Obstetrics and Gynecology,796
Health Sciences,Medicine,Oncology,4694
Health Sciences,Medicine,Ophthalmology,649
Health Sciences,Medicine,Orthopedics and Sports Medicine,307
Health Sciences,Medicine,Otorhinolaryngology,143
Health Sciences,Medicine,Pathology and Forensic Medicine,2025
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",878
Health Sciences,Medicine,Pharmacology,625
Health Sciences,Medicine,Physiology,1913
Health Sciences,Medicine,Psychiatry and Mental health,1115
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",3395
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,5898
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",2458
Health Sciences,Medicine,Rehabilitation,241
Health Sciences,Medicine,Reproductive Medicine,978
Health Sciences,Medicine,Rheumatology,1310
Health Sciences,Medicine,Surgery,6425
Health Sciences,Medicine,Transplantation,175
Health Sciences,Medicine,Urology,528
Health Sciences,Nursing,Nutrition and Dietetics,908
Health Sciences,Veterinary,Equine,186
Health Sciences,Veterinary,Small Animals,398
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,889
Life Sciences,Agricultural and Biological Sciences,Animal Science and Zoology,288
Life Sciences,Agricultural and Biological Sciences,Aquatic Science,90
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",1547
Life Sciences,Agricultural and Biological Sciences,Food Science,813
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,380
Life Sciences,Agricultural and Biological Sciences,Insect Science,816
Life Sciences,Agricultural and Biological Sciences,Plant Science,4184
Life Sciences,Agricultural and Biological Sciences,Soil Science,575
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,229
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,169
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,353
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,396
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,1701
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,1249
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,142
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,352
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,189
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,3033
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,9976
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,343
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,88
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,141
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,80
Life Sciences,Immunology and Microbiology,Immunology,2144
Life Sciences,Immunology and Microbiology,Microbiology,272
Life Sciences,Immunology and Microbiology,Parasitology,340
Life Sciences,Immunology and Microbiology,Virology,511
Life Sciences,Neuroscience,Behavioral Neuroscience,81
Life Sciences,Neuroscience,Biological Psychiatry,80
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,834
Life Sciences,Neuroscience,Cognitive Neuroscience,1676
Life Sciences,Neuroscience,Developmental Neuroscience,105
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,124
Life Sciences,Neuroscience,Neurology,511
Life Sciences,Neuroscience,Sensory Systems,177
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,75
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,145
Physical Sciences,Chemistry,Analytical Chemistry,78
Physical Sciences,Chemistry,Inorganic Chemistry,244
Physical Sciences,Chemistry,Organic Chemistry,673
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,102
Physical Sciences,Chemistry,Spectroscopy,180
Physical Sciences,Computer Science,Artificial Intelligence,2971
Physical Sciences,Computer Science,Computational Theory and Mathematics,542
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,85
Physical Sciences,Computer Science,Computer Networks and Communications,628
Physical Sciences,Computer Science,Computer Science Applications,162
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,813
Physical Sciences,Computer Science,Hardware and Architecture,185
Physical Sciences,Computer Science,Human-Computer Interaction,392
Physical Sciences,Computer Science,Information Systems,736
Physical Sciences,Computer Science,Signal Processing,178
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,662
Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,88
Physical Sciences,Earth and Planetary Sciences,Geochemistry and Petrology,68
Physical Sciences,Earth and Planetary Sciences,Geology,64
Physical Sciences,Earth and Planetary Sciences,Geophysics,1414
Physical Sciences,Earth and Planetary Sciences,Oceanography,427
Physical Sciences,Earth and Planetary Sciences,Paleontology,176
Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",495
Physical Sciences,Engineering,Aerospace Engineering,662
Physical Sciences,Engineering,Automotive Engineering,302
Physical Sciences,Engineering,Biomedical Engineering,1961
Physical Sciences,Engineering,Building and Construction,210
Physical Sciences,Engineering,Civil and Structural Engineering,268
Physical Sciences,Engineering,Computational Mechanics,498
Physical Sciences,Engineering,Control and Systems Engineering,389
Physical Sciences,Engineering,Electrical and Electronic Engineering,2329
Physical Sciences,Engineering,Industrial and Manufacturing Engineering,165
Physical Sciences,Engineering,Mechanical Engineering,620
Physical Sciences,Engineering,Mechanics of Materials,279
Physical Sciences,Engineering,Media Technology,184
Physical Sciences,Engineering,Ocean Engineering,387
Physical Sciences,Environmental Science,Ecological Modeling,358
Physical Sciences,Environmental Science,Ecology,2266
Physical Sciences,Environmental Science,Environmental Chemistry,515
Physical Sciences,Environmental Science,Environmental Engineering,519
Physical Sciences,Environmental Science,Global and Planetary Change,1587
Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",578
Physical Sciences,Environmental Science,Industrial and Manufacturing Engineering,119
Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",307
Physical Sciences,Environmental Science,Nature and Landscape Conservation,640
Physical Sciences,Environmental Science,Pollution,444
Physical Sciences,Environmental Science,Water Science and Technology,375
Physical Sciences,Materials Science,Biomaterials,535
Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",562
Physical Sciences,Materials Science,Materials Chemistry,1711
Physical Sciences,Materials Science,Polymers and Plastics,260
Physical Sciences,Materials Science,"Surfaces, Coatings and Films",180
Physical Sciences,Mathematics,Applied Mathematics,131
Physical Sciences,Mathematics,Discrete Mathematics and Combinatorics,79
Physical Sciences,Mathematics,Geometry and Topology,327
Physical Sciences,Mathematics,Mathematical Physics,255
Physical Sciences,Mathematics,Modeling and Simulation,243
Physical Sciences,Mathematics,Statistics and Probability,510
Physical Sciences,Physics and Astronomy,Astronomy and Astrophysics,4702
Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",1377
Physical Sciences,Physics and Astronomy,Condensed Matter Physics,617
Physical Sciences,Physics and Astronomy,Instrumentation,67
Physical Sciences,Physics and Astronomy,Nuclear and High Energy Physics,676
Physical Sciences,Physics and Astronomy,Radiation,208
Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,481
Social Sciences,Arts and Humanities,Archeology,157
Social Sciences,Arts and Humanities,Classics,68
Social Sciences,Arts and Humanities,History,247
Social Sciences,Arts and Humanities,History and Philosophy of Science,184
Social Sciences,Arts and Humanities,Language and Linguistics,196
Social Sciences,Arts and Humanities,Literature and Literary Theory,229
Social Sciences,Arts and Humanities,Museology,111
Social Sciences,Arts and Humanities,Music,69
Social Sciences,Arts and Humanities,Philosophy,393
Social Sciences,Arts and Humanities,Religious studies,79
Social Sciences,Arts and Humanities,Visual Arts and Performing Arts,87
Social Sciences,"Business, Management and Accounting",Accounting,518
Social Sciences,"Business, Management and Accounting",Management Information Systems,403
Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation,177
Social Sciences,"Business, Management and Accounting",Marketing,376
Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,328
Social Sciences,"Business, Management and Accounting",Strategy and Management,493
Social Sciences,Decision Sciences,General Decision Sciences,134
Social Sciences,Decision Sciences,Information Systems and Management,298
Social Sciences,Decision Sciences,Management Science and Operations Research,853
Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",228
Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,2458
Social Sciences,"Economics, Econometrics and Finance",Finance,704
Social Sciences,"Economics, Econometrics and Finance","General Economics, Econometrics and Finance",197
Social Sciences,Psychology,Applied Psychology,296
Social Sciences,Psychology,Clinical Psychology,1422
Social Sciences,Psychology,Developmental and Educational Psychology,316
Social Sciences,Psychology,Experimental and Cognitive Psychology,790
Social Sciences,Psychology,Neuropsychology and Physiological Psychology,90
Social Sciences,Psychology,Social Psychology,1270
Social Sciences,Social Sciences,Anthropology,267
Social Sciences,Social Sciences,Communication,231
Social Sciences,Social Sciences,Cultural Studies,157
Social Sciences,Social Sciences,Demography,495
Social Sciences,Social Sciences,Development,75
Social Sciences,Social Sciences,Education,662
Social Sciences,Social Sciences,Gender Studies,689
Social Sciences,Social Sciences,General Social Sciences,79
Social Sciences,Social Sciences,"Geography, Planning and Development",93
Social Sciences,Social Sciences,Health,568
Social Sciences,Social Sciences,Law,311
Social Sciences,Social Sciences,Political Science and International Relations,1226
Social Sciences,Social Sciences,Public Administration,174
Social Sciences,Social Sciences,Safety Research,590
Social Sciences,Social Sciences,Sociology and Political Science,3371
Social Sciences,Social Sciences,Transportation,212
Social Sciences,Social Sciences,Urban Studies,126
