Domain,Group,Field,numpub
Health Sciences,Dentistry,Orthodontics,13
Health Sciences,Dentistry,Periodontics,17
Health Sciences,Health Professions,Emergency Medical Services,144
Health Sciences,Health Professions,General Health Professions,1054
Health Sciences,Health Professions,Health Information Management,86
Health Sciences,Health Professions,Occupational Therapy,27
Health Sciences,Health Professions,Pharmacy,73
Health Sciences,Health Professions,Radiological and Ultrasound Technology,34
Health Sciences,Health Professions,Speech and Hearing,49
Health Sciences,Medicine,Anesthesiology and Pain Medicine,72
Health Sciences,Medicine,Biochemistry,30
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,895
Health Sciences,Medicine,Complementary and alternative medicine,65
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,81
Health Sciences,Medicine,Dermatology,308
Health Sciences,Medicine,Emergency Medicine,325
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",548
Health Sciences,Medicine,Epidemiology,1027
Health Sciences,Medicine,Family Practice,39
Health Sciences,Medicine,Gastroenterology,63
Health Sciences,Medicine,Genetics,293
Health Sciences,Medicine,Geriatrics and Gerontology,72
Health Sciences,Medicine,Health Informatics,92
Health Sciences,Medicine,Hematology,552
Health Sciences,Medicine,Hepatology,242
Health Sciences,Medicine,Immunology and Allergy,40
Health Sciences,Medicine,Infectious Diseases,920
Health Sciences,Medicine,Internal Medicine,84
Health Sciences,Medicine,Nephrology,127
Health Sciences,Medicine,Neurology,657
Health Sciences,Medicine,Obstetrics and Gynecology,210
Health Sciences,Medicine,Oncology,1788
Health Sciences,Medicine,Ophthalmology,124
Health Sciences,Medicine,Orthopedics and Sports Medicine,158
Health Sciences,Medicine,Otorhinolaryngology,70
Health Sciences,Medicine,Pathology and Forensic Medicine,607
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",427
Health Sciences,Medicine,Pharmacology,178
Health Sciences,Medicine,Physiology,861
Health Sciences,Medicine,Psychiatry and Mental health,575
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",1289
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,1632
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",521
Health Sciences,Medicine,Rehabilitation,137
Health Sciences,Medicine,Reproductive Medicine,156
Health Sciences,Medicine,Rheumatology,296
Health Sciences,Medicine,Surgery,1828
Health Sciences,Medicine,Transplantation,52
Health Sciences,Medicine,Urology,99
Health Sciences,Nursing,"Issues, ethics and legal aspects",10
Health Sciences,Nursing,Nutrition and Dietetics,161
Health Sciences,Nursing,Research and Theory,10
Health Sciences,Veterinary,Small Animals,96
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,25
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",230
Life Sciences,Agricultural and Biological Sciences,Food Science,48
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,34
Life Sciences,Agricultural and Biological Sciences,Insect Science,27
Life Sciences,Agricultural and Biological Sciences,Plant Science,91
Life Sciences,Agricultural and Biological Sciences,Soil Science,25
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,14
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,26
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,39
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,41
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,554
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,204
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,25
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,27
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,16
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,1346
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,1824
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,33
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,23
Life Sciences,Immunology and Microbiology,Immunology,306
Life Sciences,Immunology and Microbiology,Microbiology,46
Life Sciences,Immunology and Microbiology,Parasitology,81
Life Sciences,Immunology and Microbiology,Virology,124
Life Sciences,Neuroscience,Behavioral Neuroscience,38
Life Sciences,Neuroscience,Biological Psychiatry,13
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,256
Life Sciences,Neuroscience,Cognitive Neuroscience,602
Life Sciences,Neuroscience,Developmental Neuroscience,36
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,37
Life Sciences,Neuroscience,Neurology,134
Life Sciences,Neuroscience,Sensory Systems,72
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,41
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,90
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Toxicology,12
Physical Sciences,Chemical Engineering,Catalysis,12
Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes,14
Physical Sciences,Chemistry,Analytical Chemistry,12
Physical Sciences,Chemistry,Inorganic Chemistry,49
Physical Sciences,Chemistry,Organic Chemistry,105
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,23
Physical Sciences,Chemistry,Spectroscopy,92
Physical Sciences,Computer Science,Artificial Intelligence,772
Physical Sciences,Computer Science,Computational Theory and Mathematics,127
Physical Sciences,Computer Science,Computer Networks and Communications,103
Physical Sciences,Computer Science,Computer Science Applications,30
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,63
Physical Sciences,Computer Science,Hardware and Architecture,9
Physical Sciences,Computer Science,Human-Computer Interaction,33
Physical Sciences,Computer Science,Information Systems,226
Physical Sciences,Computer Science,Signal Processing,17
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,58
Physical Sciences,Earth and Planetary Sciences,Oceanography,19
Physical Sciences,Earth and Planetary Sciences,Paleontology,9
Physical Sciences,Earth and Planetary Sciences,Space and Planetary Science,10
