Domain,Group,Field,numpub
Health Sciences,Dentistry,Oral Surgery,389
Health Sciences,Dentistry,Orthodontics,171
Health Sciences,Dentistry,Periodontics,551
Health Sciences,Health Professions,Emergency Medical Services,1161
Health Sciences,Health Professions,General Health Professions,6160
Health Sciences,Health Professions,Health Information Management,593
Health Sciences,Health Professions,Occupational Therapy,148
Health Sciences,Health Professions,Pharmacy,568
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",297
Health Sciences,Health Professions,Radiological and Ultrasound Technology,266
Health Sciences,Health Professions,Speech and Hearing,606
Health Sciences,Medicine,Anesthesiology and Pain Medicine,749
Health Sciences,Medicine,Biochemistry,226
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,9064
Health Sciences,Medicine,Complementary and alternative medicine,451
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,1160
Health Sciences,Medicine,Dermatology,1456
Health Sciences,Medicine,Emergency Medicine,2153
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",4104
Health Sciences,Medicine,Epidemiology,10551
Health Sciences,Medicine,Family Practice,384
Health Sciences,Medicine,Gastroenterology,970
Health Sciences,Medicine,Genetics,3204
Health Sciences,Medicine,Geriatrics and Gerontology,775
Health Sciences,Medicine,Health Informatics,903
Health Sciences,Medicine,Hematology,3547
Health Sciences,Medicine,Hepatology,1083
Health Sciences,Medicine,Immunology and Allergy,696
Health Sciences,Medicine,Infectious Diseases,7211
Health Sciences,Medicine,Internal Medicine,946
Health Sciences,Medicine,Nephrology,1457
Health Sciences,Medicine,Neurology,4905
Health Sciences,Medicine,Obstetrics and Gynecology,1806
Health Sciences,Medicine,Oncology,10083
Health Sciences,Medicine,Ophthalmology,2336
Health Sciences,Medicine,Orthopedics and Sports Medicine,1156
Health Sciences,Medicine,Otorhinolaryngology,860
Health Sciences,Medicine,Pathology and Forensic Medicine,3727
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",4579
Health Sciences,Medicine,Pharmacology,2187
Health Sciences,Medicine,Physiology,8512
Health Sciences,Medicine,Psychiatry and Mental health,5837
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",11537
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,11792
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",21552
Health Sciences,Medicine,Rehabilitation,751
Health Sciences,Medicine,Reproductive Medicine,1505
Health Sciences,Medicine,Rheumatology,2925
Health Sciences,Medicine,Surgery,12950
Health Sciences,Medicine,Transplantation,440
Health Sciences,Medicine,Urology,516
Health Sciences,Nursing,Nutrition and Dietetics,2090
Health Sciences,Veterinary,Small Animals,135
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",895
Life Sciences,Agricultural and Biological Sciences,Food Science,351
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,97
Life Sciences,Agricultural and Biological Sciences,Insect Science,296
Life Sciences,Agricultural and Biological Sciences,Plant Science,1187
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,613
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,348
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,908
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,253
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,3719
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,2303
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,431
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,127
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,414
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,8498
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,25134
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,380
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,251
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,121
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,245
Life Sciences,Immunology and Microbiology,Immunology,6051
Life Sciences,Immunology and Microbiology,Microbiology,514
Life Sciences,Immunology and Microbiology,Parasitology,335
Life Sciences,Immunology and Microbiology,Virology,1349
Life Sciences,Neuroscience,Behavioral Neuroscience,453
Life Sciences,Neuroscience,Biological Psychiatry,339
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,3002
Life Sciences,Neuroscience,Cognitive Neuroscience,8539
Life Sciences,Neuroscience,Developmental Neuroscience,458
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,875
Life Sciences,Neuroscience,Neurology,2568
Life Sciences,Neuroscience,Sensory Systems,905
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,285
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,405
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Toxicology,133
Physical Sciences,Chemical Engineering,Bioengineering,147
Physical Sciences,Chemical Engineering,Catalysis,111
Physical Sciences,Chemistry,Inorganic Chemistry,434
Physical Sciences,Chemistry,Organic Chemistry,1031
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,165
Physical Sciences,Chemistry,Spectroscopy,1047
Physical Sciences,Computer Science,Artificial Intelligence,4443
Physical Sciences,Computer Science,Computational Theory and Mathematics,859
Physical Sciences,Computer Science,Computer Networks and Communications,632
Physical Sciences,Computer Science,Computer Science Applications,261
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,1499
Physical Sciences,Computer Science,Hardware and Architecture,132
Physical Sciences,Computer Science,Human-Computer Interaction,204
Physical Sciences,Computer Science,Information Systems,829
Physical Sciences,Computer Science,Signal Processing,233
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,2306
Physical Sciences,Earth and Planetary Sciences,Geochemistry and Petrology,123
Physical Sciences,Earth and Planetary Sciences,Geology,406
Physical Sciences,Earth and Planetary Sciences,Geophysics,467
Physical Sciences,Earth and Planetary Sciences,Oceanography,967
Physical Sciences,Earth and Planetary Sciences,Paleontology,741
Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",502
Physical Sciences,Engineering,Aerospace Engineering,460
Physical Sciences,Engineering,Automotive Engineering,249
Physical Sciences,Engineering,Biomedical Engineering,5744
Physical Sciences,Engineering,Building and Construction,234
Physical Sciences,Engineering,Civil and Structural Engineering,187
Physical Sciences,Engineering,Computational Mechanics,1510
Physical Sciences,Engineering,Control and Systems Engineering,359
Physical Sciences,Engineering,Electrical and Electronic Engineering,3113
Physical Sciences,Engineering,Industrial and Manufacturing Engineering,194
Physical Sciences,Engineering,Mechanical Engineering,760
Physical Sciences,Engineering,Mechanics of Materials,252
Physical Sciences,Engineering,Media Technology,221
Physical Sciences,Engineering,Ocean Engineering,171
Physical Sciences,Engineering,"Safety, Risk, Reliability and Quality",94
Physical Sciences,Environmental Science,Ecological Modeling,236
Physical Sciences,Environmental Science,Ecology,1444
Physical Sciences,Environmental Science,Environmental Chemistry,571
Physical Sciences,Environmental Science,Environmental Engineering,682
Physical Sciences,Environmental Science,Global and Planetary Change,2192
Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",4369
Physical Sciences,Environmental Science,Industrial and Manufacturing Engineering,100
Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",260
Physical Sciences,Environmental Science,Nature and Landscape Conservation,959
Physical Sciences,Environmental Science,Pollution,289
Physical Sciences,Environmental Science,Water Science and Technology,180
Physical Sciences,Materials Science,Biomaterials,797
Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",623
Physical Sciences,Materials Science,Materials Chemistry,3139
