Domain,Group,Field,numpub
Health Sciences,Dentistry,General Dentistry,65
Health Sciences,Dentistry,Oral Surgery,397
Health Sciences,Dentistry,Orthodontics,253
Health Sciences,Dentistry,Periodontics,459
Health Sciences,Health Professions,Complementary and Manual Therapy,46
Health Sciences,Health Professions,Emergency Medical Services,248
Health Sciences,Health Professions,General Health Professions,2314
Health Sciences,Health Professions,Health Information Management,138
Health Sciences,Health Professions,Occupational Therapy,155
Health Sciences,Health Professions,Pharmacy,142
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",61
Health Sciences,Health Professions,Radiological and Ultrasound Technology,66
Health Sciences,Health Professions,Speech and Hearing,212
Health Sciences,Medicine,Anesthesiology and Pain Medicine,97
Health Sciences,Medicine,Biochemistry,51
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,1696
Health Sciences,Medicine,Complementary and alternative medicine,65
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,142
Health Sciences,Medicine,Dermatology,434
Health Sciences,Medicine,Emergency Medicine,482
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",626
Health Sciences,Medicine,Epidemiology,2275
Health Sciences,Medicine,Family Practice,110
Health Sciences,Medicine,Gastroenterology,125
Health Sciences,Medicine,Genetics,453
Health Sciences,Medicine,Geriatrics and Gerontology,113
Health Sciences,Medicine,Health Informatics,201
Health Sciences,Medicine,Hematology,277
Health Sciences,Medicine,Hepatology,235
Health Sciences,Medicine,Immunology and Allergy,94
Health Sciences,Medicine,Infectious Diseases,1432
Health Sciences,Medicine,Internal Medicine,186
Health Sciences,Medicine,Nephrology,360
Health Sciences,Medicine,Neurology,994
Health Sciences,Medicine,Obstetrics and Gynecology,345
Health Sciences,Medicine,Oncology,1855
Health Sciences,Medicine,Ophthalmology,667
Health Sciences,Medicine,Orthopedics and Sports Medicine,164
Health Sciences,Medicine,Otorhinolaryngology,129
Health Sciences,Medicine,Pathology and Forensic Medicine,668
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",805
Health Sciences,Medicine,Pharmacology,476
Health Sciences,Medicine,Physiology,1960
