Domain,Group,Field,numpub
Health Sciences,Dentistry,Periodontics,52
Health Sciences,Health Professions,Emergency Medical Services,128
Health Sciences,Health Professions,General Health Professions,1394
Health Sciences,Health Professions,Health Information Management,73
Health Sciences,Health Professions,Occupational Therapy,159
Health Sciences,Health Professions,Pharmacy,107
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",152
Health Sciences,Health Professions,Radiological and Ultrasound Technology,118
Health Sciences,Health Professions,Speech and Hearing,165
Health Sciences,Medicine,Anesthesiology and Pain Medicine,52
Health Sciences,Medicine,Biochemistry,56
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,616
Health Sciences,Medicine,Complementary and alternative medicine,71
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,114
Health Sciences,Medicine,Dermatology,206
Health Sciences,Medicine,Emergency Medicine,121
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",261
Health Sciences,Medicine,Epidemiology,1336
Health Sciences,Medicine,Gastroenterology,60
Health Sciences,Medicine,Genetics,218
Health Sciences,Medicine,Geriatrics and Gerontology,60
Health Sciences,Medicine,Health Informatics,86
Health Sciences,Medicine,Hematology,226
Health Sciences,Medicine,Hepatology,95
Health Sciences,Medicine,Infectious Diseases,581
Health Sciences,Medicine,Nephrology,88
Health Sciences,Medicine,Neurology,337
Health Sciences,Medicine,Obstetrics and Gynecology,139
Health Sciences,Medicine,Oncology,685
Health Sciences,Medicine,Ophthalmology,79
Health Sciences,Medicine,Orthopedics and Sports Medicine,202
Health Sciences,Medicine,Otorhinolaryngology,43
Health Sciences,Medicine,Pathology and Forensic Medicine,287
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",406
Health Sciences,Medicine,Pharmacology,303
Health Sciences,Medicine,Physiology,1235
Health Sciences,Medicine,Psychiatry and Mental health,638
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",1902
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,739
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",392
Health Sciences,Medicine,Rehabilitation,104
Health Sciences,Medicine,Reproductive Medicine,163
Health Sciences,Medicine,Rheumatology,205
Health Sciences,Medicine,Surgery,844
Health Sciences,Nursing,Nutrition and Dietetics,548
Health Sciences,Veterinary,Small Animals,73
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,475
Life Sciences,Agricultural and Biological Sciences,Animal Science and Zoology,152
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",886
Life Sciences,Agricultural and Biological Sciences,Food Science,389
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,249
Life Sciences,Agricultural and Biological Sciences,Insect Science,559
Life Sciences,Agricultural and Biological Sciences,Plant Science,1841
Life Sciences,Agricultural and Biological Sciences,Soil Science,249
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,41
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,73
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,118
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,103
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,281
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,493
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,39
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,125
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,1465
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,4213
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,65
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,53
Life Sciences,Immunology and Microbiology,Immunology,321
Life Sciences,Immunology and Microbiology,Microbiology,70
Life Sciences,Immunology and Microbiology,Parasitology,98
Life Sciences,Immunology and Microbiology,Virology,58
Life Sciences,Neuroscience,Behavioral Neuroscience,198
Life Sciences,Neuroscience,Biological Psychiatry,53
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,389
Life Sciences,Neuroscience,Cognitive Neuroscience,1544
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,136
Life Sciences,Neuroscience,Neurology,165
Life Sciences,Neuroscience,Sensory Systems,235
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,77
Physical Sciences,Chemical Engineering,Catalysis,134
Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes,174
Physical Sciences,Chemistry,Analytical Chemistry,46
Physical Sciences,Chemistry,Electrochemistry,44
Physical Sciences,Chemistry,Inorganic Chemistry,259
Physical Sciences,Chemistry,Organic Chemistry,366
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,130
Physical Sciences,Chemistry,Spectroscopy,142
Physical Sciences,Computer Science,Artificial Intelligence,2595
Physical Sciences,Computer Science,Computational Theory and Mathematics,396
Physical Sciences,Computer Science,Computer Networks and Communications,909
Physical Sciences,Computer Science,Computer Science Applications,327
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,750
Physical Sciences,Computer Science,Hardware and Architecture,220
Physical Sciences,Computer Science,Human-Computer Interaction,278
Physical Sciences,Computer Science,Information Systems,960
Physical Sciences,Computer Science,Signal Processing,371
Physical Sciences,Computer Science,Software,80
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,1636
Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,128
Physical Sciences,Earth and Planetary Sciences,Geochemistry and Petrology,131
