Domain,Group,Field,numpub
Health Sciences,Health Professions,Emergency Medical Services,14
Health Sciences,Health Professions,General Health Professions,313
Health Sciences,Health Professions,Pharmacy,18
Health Sciences,Health Professions,Radiological and Ultrasound Technology,13
Health Sciences,Health Professions,Speech and Hearing,17
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,102
Health Sciences,Medicine,Dermatology,36
Health Sciences,Medicine,Emergency Medicine,42
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",20
Health Sciences,Medicine,Epidemiology,408
Health Sciences,Medicine,Genetics,23
Health Sciences,Medicine,Geriatrics and Gerontology,17
Health Sciences,Medicine,Health Informatics,14
Health Sciences,Medicine,Hematology,16
Health Sciences,Medicine,Hepatology,42
Health Sciences,Medicine,Immunology and Allergy,26
Health Sciences,Medicine,Infectious Diseases,221
Health Sciences,Medicine,Nephrology,18
Health Sciences,Medicine,Neurology,67
Health Sciences,Medicine,Oncology,207
Health Sciences,Medicine,Ophthalmology,16
Health Sciences,Medicine,Orthopedics and Sports Medicine,20
Health Sciences,Medicine,Pathology and Forensic Medicine,36
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",116
Health Sciences,Medicine,Pharmacology,111
Health Sciences,Medicine,Physiology,191
Health Sciences,Medicine,Psychiatry and Mental health,60
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",411
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,179
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",351
Health Sciences,Medicine,Reproductive Medicine,30
Health Sciences,Medicine,Rheumatology,39
Health Sciences,Medicine,Surgery,91
Health Sciences,Nursing,Nutrition and Dietetics,79
Health Sciences,Veterinary,Small Animals,25
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,25
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",368
Life Sciences,Agricultural and Biological Sciences,Food Science,54
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,45
Life Sciences,Agricultural and Biological Sciences,Insect Science,73
Life Sciences,Agricultural and Biological Sciences,Plant Science,245
Life Sciences,Agricultural and Biological Sciences,Soil Science,90
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,163
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,28
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,172
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,35
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,221
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,382
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,13
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,63
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,67
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,597
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,2522
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,45
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,12
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,71
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,32
Life Sciences,Immunology and Microbiology,Immunology,172
Life Sciences,Immunology and Microbiology,Microbiology,44
Life Sciences,Immunology and Microbiology,Parasitology,48
Life Sciences,Immunology and Microbiology,Virology,25
Life Sciences,Neuroscience,Behavioral Neuroscience,32
Life Sciences,Neuroscience,Biological Psychiatry,16
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,272
Life Sciences,Neuroscience,Cognitive Neuroscience,1764
Life Sciences,Neuroscience,Developmental Neuroscience,21
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,30
Life Sciences,Neuroscience,Neurology,67
Life Sciences,Neuroscience,Sensory Systems,29
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,82
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,21
Physical Sciences,Chemical Engineering,Catalysis,80
Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes,196
Physical Sciences,Chemical Engineering,Process Chemistry and Technology,16
Physical Sciences,Chemistry,Analytical Chemistry,16
Physical Sciences,Chemistry,Electrochemistry,23
Physical Sciences,Chemistry,Inorganic Chemistry,176
Physical Sciences,Chemistry,Organic Chemistry,542
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,106
Physical Sciences,Chemistry,Spectroscopy,283
Physical Sciences,Computer Science,Artificial Intelligence,2984
Physical Sciences,Computer Science,Computational Theory and Mathematics,700
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,65
Physical Sciences,Computer Science,Computer Networks and Communications,977
Physical Sciences,Computer Science,Computer Science Applications,83
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,616
Physical Sciences,Computer Science,Hardware and Architecture,183
Physical Sciences,Computer Science,Human-Computer Interaction,57
Physical Sciences,Computer Science,Information Systems,343
Physical Sciences,Computer Science,Signal Processing,168
Physical Sciences,Computer Science,Software,18
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,1380
Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,96
Physical Sciences,Earth and Planetary Sciences,Geochemistry and Petrology,60
Physical Sciences,Earth and Planetary Sciences,Geology,84
Physical Sciences,Earth and Planetary Sciences,Geophysics,449
Physical Sciences,Earth and Planetary Sciences,Oceanography,805
Physical Sciences,Earth and Planetary Sciences,Paleontology,140
Physical Sciences,Energy,Energy Engineering and Power Technology,23
Physical Sciences,Energy,General Energy,13
Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",376
Physical Sciences,Engineering,Aerospace Engineering,554
Physical Sciences,Engineering,Architecture,26
Physical Sciences,Engineering,Automotive Engineering,123
Physical Sciences,Engineering,Biomedical Engineering,656
Physical Sciences,Engineering,Building and Construction,154
Physical Sciences,Engineering,Civil and Structural Engineering,378
Physical Sciences,Engineering,Computational Mechanics,971
Physical Sciences,Engineering,Control and Systems Engineering,358
Physical Sciences,Engineering,Electrical and Electronic Engineering,2701
Physical Sciences,Engineering,Industrial and Manufacturing Engineering,83
Physical Sciences,Engineering,Mechanical Engineering,350
Physical Sciences,Engineering,Mechanics of Materials,205
Physical Sciences,Engineering,Media Technology,97
Physical Sciences,Engineering,Ocean Engineering,189
Physical Sciences,Engineering,"Safety, Risk, Reliability and Quality",50
Physical Sciences,Environmental Science,Ecological Modeling,95
Physical Sciences,Environmental Science,Ecology,689
Physical Sciences,Environmental Science,Environmental Chemistry,155
Physical Sciences,Environmental Science,Environmental Engineering,441
Physical Sciences,Environmental Science,Global and Planetary Change,1895
Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",231
Physical Sciences,Environmental Science,Industrial and Manufacturing Engineering,45
Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",150
Physical Sciences,Environmental Science,Nature and Landscape Conservation,184
Physical Sciences,Environmental Science,Pollution,188
Physical Sciences,Environmental Science,Water Science and Technology,276
Physical Sciences,Materials Science,Biomaterials,94
Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",198
Physical Sciences,Materials Science,Materials Chemistry,1183
Physical Sciences,Materials Science,Polymers and Plastics,86
Physical Sciences,Materials Science,"Surfaces, Coatings and Films",81
Physical Sciences,Mathematics,Algebra and Number Theory,92
Physical Sciences,Mathematics,Applied Mathematics,397
Physical Sciences,Mathematics,Computational Mathematics,35
Physical Sciences,Mathematics,Discrete Mathematics and Combinatorics,209
Physical Sciences,Mathematics,Geometry and Topology,498
Physical Sciences,Mathematics,Mathematical Physics,318
Physical Sciences,Mathematics,Modeling and Simulation,281
Physical Sciences,Mathematics,Numerical Analysis,101
