Domain,Group,Field,numpub
Health Sciences,Dentistry,Oral Surgery,43
Health Sciences,Dentistry,Periodontics,67
Health Sciences,Health Professions,Emergency Medical Services,300
Health Sciences,Health Professions,General Health Professions,1676
Health Sciences,Health Professions,Health Information Management,227
Health Sciences,Health Professions,Occupational Therapy,86
Health Sciences,Health Professions,Pharmacy,91
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",126
Health Sciences,Health Professions,Radiological and Ultrasound Technology,147
Health Sciences,Health Professions,Speech and Hearing,146
Health Sciences,Medicine,Anesthesiology and Pain Medicine,202
Health Sciences,Medicine,Biochemistry,116
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,2239
Health Sciences,Medicine,Complementary and alternative medicine,186
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,247
Health Sciences,Medicine,Dermatology,263
Health Sciences,Medicine,Emergency Medicine,755
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",781
Health Sciences,Medicine,Epidemiology,2825
Health Sciences,Medicine,Family Practice,103
Health Sciences,Medicine,Gastroenterology,177
Health Sciences,Medicine,Genetics,870
Health Sciences,Medicine,Geriatrics and Gerontology,203
Health Sciences,Medicine,Health Informatics,99
Health Sciences,Medicine,Hematology,1167
Health Sciences,Medicine,Hepatology,207
Health Sciences,Medicine,Immunology and Allergy,75
Health Sciences,Medicine,Infectious Diseases,993
Health Sciences,Medicine,Internal Medicine,261
Health Sciences,Medicine,Nephrology,320
Health Sciences,Medicine,Neurology,1292
Health Sciences,Medicine,Obstetrics and Gynecology,546
Health Sciences,Medicine,Oncology,2358
Health Sciences,Medicine,Ophthalmology,715
Health Sciences,Medicine,Orthopedics and Sports Medicine,422
Health Sciences,Medicine,Otorhinolaryngology,236
Health Sciences,Medicine,Pathology and Forensic Medicine,1240
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",1378
Health Sciences,Medicine,Pharmacology,673
Health Sciences,Medicine,Physiology,1514
