Domain,Group,Field,numpub
Health Sciences,Dentistry,Oral Surgery,66
Health Sciences,Health Professions,Emergency Medical Services,427
Health Sciences,Health Professions,General Health Professions,2805
Health Sciences,Health Professions,Health Information Management,262
Health Sciences,Health Professions,Pharmacy,233
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",113
Health Sciences,Health Professions,Radiological and Ultrasound Technology,127
Health Sciences,Health Professions,Speech and Hearing,310
Health Sciences,Medicine,Anesthesiology and Pain Medicine,412
Health Sciences,Medicine,Biochemistry,80
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,4301
Health Sciences,Medicine,Complementary and alternative medicine,286
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,410
Health Sciences,Medicine,Dermatology,659
Health Sciences,Medicine,Emergency Medicine,861
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",1665
Health Sciences,Medicine,Epidemiology,5601
Health Sciences,Medicine,Family Practice,115
Health Sciences,Medicine,Gastroenterology,376
Health Sciences,Medicine,Genetics,1847
Health Sciences,Medicine,Geriatrics and Gerontology,213
Health Sciences,Medicine,Health Informatics,615
Health Sciences,Medicine,Hematology,1528
Health Sciences,Medicine,Hepatology,994
Health Sciences,Medicine,Immunology and Allergy,479
Health Sciences,Medicine,Infectious Diseases,2586
Health Sciences,Medicine,Internal Medicine,243
Health Sciences,Medicine,Nephrology,909
Health Sciences,Medicine,Neurology,2182
Health Sciences,Medicine,Obstetrics and Gynecology,871
Health Sciences,Medicine,Oncology,5092
Health Sciences,Medicine,Ophthalmology,1196
Health Sciences,Medicine,Orthopedics and Sports Medicine,451
Health Sciences,Medicine,Otorhinolaryngology,558
Health Sciences,Medicine,Pathology and Forensic Medicine,1883
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",2309
Health Sciences,Medicine,Pharmacology,967
Health Sciences,Medicine,Physiology,3150
Health Sciences,Medicine,Psychiatry and Mental health,2021
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",4878
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,5683
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",4371
Health Sciences,Medicine,Rehabilitation,382
Health Sciences,Medicine,Reproductive Medicine,649
Health Sciences,Medicine,Rheumatology,1539
Health Sciences,Medicine,Surgery,8197
Health Sciences,Medicine,Transplantation,201
Health Sciences,Medicine,Urology,249
Health Sciences,Nursing,Nutrition and Dietetics,686
Health Sciences,Veterinary,Small Animals,82
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",462
Life Sciences,Agricultural and Biological Sciences,Food Science,269
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,98
Life Sciences,Agricultural and Biological Sciences,Insect Science,111
Life Sciences,Agricultural and Biological Sciences,Plant Science,783
Life Sciences,Agricultural and Biological Sciences,Soil Science,165
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,243
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,94
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,583
