Domain,Group,Field,numpub
Health Sciences,Dentistry,Oral Surgery,201
Health Sciences,Dentistry,Orthodontics,108
Health Sciences,Dentistry,Periodontics,213
Health Sciences,Health Professions,Emergency Medical Services,268
Health Sciences,Health Professions,General Health Professions,2447
Health Sciences,Health Professions,Health Information Management,115
Health Sciences,Health Professions,Occupational Therapy,48
Health Sciences,Health Professions,Pharmacy,149
Health Sciences,Health Professions,Radiological and Ultrasound Technology,55
Health Sciences,Health Professions,Speech and Hearing,182
Health Sciences,Medicine,Anesthesiology and Pain Medicine,140
Health Sciences,Medicine,Biochemistry,50
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,2523
Health Sciences,Medicine,Complementary and alternative medicine,127
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,207
Health Sciences,Medicine,Dermatology,605
Health Sciences,Medicine,Emergency Medicine,751
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",975
Health Sciences,Medicine,Epidemiology,3849
Health Sciences,Medicine,Family Practice,100
Health Sciences,Medicine,Gastroenterology,331
Health Sciences,Medicine,Genetics,1065
Health Sciences,Medicine,Geriatrics and Gerontology,207
Health Sciences,Medicine,Health Informatics,132
Health Sciences,Medicine,Hematology,784
Health Sciences,Medicine,Hepatology,595
Health Sciences,Medicine,Immunology and Allergy,112
Health Sciences,Medicine,Infectious Diseases,2393
Health Sciences,Medicine,Internal Medicine,149
Health Sciences,Medicine,Nephrology,567
Health Sciences,Medicine,Neurology,1417
Health Sciences,Medicine,Obstetrics and Gynecology,556
Health Sciences,Medicine,Oncology,3556
Health Sciences,Medicine,Ophthalmology,1185
Health Sciences,Medicine,Orthopedics and Sports Medicine,253
Health Sciences,Medicine,Otorhinolaryngology,276
Health Sciences,Medicine,Pathology and Forensic Medicine,1227
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",953
Health Sciences,Medicine,Pharmacology,677
Health Sciences,Medicine,Physiology,2254
Health Sciences,Medicine,Psychiatry and Mental health,1892
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",2742
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,4614
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",2482
Health Sciences,Medicine,Rehabilitation,236
Health Sciences,Medicine,Reproductive Medicine,479
Health Sciences,Medicine,Rheumatology,865
Health Sciences,Medicine,Surgery,3817
Health Sciences,Medicine,Transplantation,193
Health Sciences,Medicine,Urology,232
Health Sciences,Nursing,Nutrition and Dietetics,384
Health Sciences,Veterinary,Small Animals,48
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",444
Life Sciences,Agricultural and Biological Sciences,Food Science,89
Life Sciences,Agricultural and Biological Sciences,Insect Science,57
Life Sciences,Agricultural and Biological Sciences,Plant Science,545
Life Sciences,Agricultural and Biological Sciences,Soil Science,55
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,128
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,100
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,432
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,156
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,1058
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,595
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,164
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,125
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,51
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,2550
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,7339
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,147
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,46
