Domain,Group,Field,numpub
Health Sciences,Dentistry,Periodontics,40
Health Sciences,Health Professions,Emergency Medical Services,60
Health Sciences,Health Professions,General Health Professions,693
Health Sciences,Health Professions,Health Information Management,41
Health Sciences,Health Professions,Occupational Therapy,34
Health Sciences,Health Professions,Pharmacy,39
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",29
Health Sciences,Health Professions,Radiological and Ultrasound Technology,46
Health Sciences,Health Professions,Speech and Hearing,96
Health Sciences,Medicine,Biochemistry,37
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,259
Health Sciences,Medicine,Complementary and alternative medicine,41
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,29
Health Sciences,Medicine,Dermatology,28
Health Sciences,Medicine,Emergency Medicine,95
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",86
Health Sciences,Medicine,Epidemiology,689
Health Sciences,Medicine,Gastroenterology,23
Health Sciences,Medicine,Genetics,83
Health Sciences,Medicine,Geriatrics and Gerontology,31
Health Sciences,Medicine,Health Informatics,48
Health Sciences,Medicine,Hematology,57
Health Sciences,Medicine,Hepatology,88
Health Sciences,Medicine,Immunology and Allergy,36
Health Sciences,Medicine,Infectious Diseases,574
Health Sciences,Medicine,Neurology,90
Health Sciences,Medicine,Obstetrics and Gynecology,72
Health Sciences,Medicine,Oncology,284
Health Sciences,Medicine,Ophthalmology,25
Health Sciences,Medicine,Orthopedics and Sports Medicine,60
Health Sciences,Medicine,Pathology and Forensic Medicine,75
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",188
Health Sciences,Medicine,Pharmacology,101
Health Sciences,Medicine,Physiology,332
Health Sciences,Medicine,Psychiatry and Mental health,203
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",901
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,404
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",449
Health Sciences,Medicine,Rehabilitation,77
Health Sciences,Medicine,Reproductive Medicine,94
Health Sciences,Medicine,Rheumatology,109
Health Sciences,Medicine,Surgery,336
Health Sciences,Nursing,Nutrition and Dietetics,182
Health Sciences,Veterinary,Equine,66
Health Sciences,Veterinary,Small Animals,142
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,200
Life Sciences,Agricultural and Biological Sciences,Animal Science and Zoology,168
Life Sciences,Agricultural and Biological Sciences,Aquatic Science,35
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",544
Life Sciences,Agricultural and Biological Sciences,Food Science,288
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,86
Life Sciences,Agricultural and Biological Sciences,Insect Science,251
Life Sciences,Agricultural and Biological Sciences,Plant Science,802
Life Sciences,Agricultural and Biological Sciences,Soil Science,209
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,41
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,158
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,158
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,218
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,350
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,150
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,142
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,728
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,2869
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,73
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,45
Life Sciences,Immunology and Microbiology,Immunology,342
Life Sciences,Immunology and Microbiology,Microbiology,151
Life Sciences,Immunology and Microbiology,Parasitology,181
Life Sciences,Immunology and Microbiology,Virology,59
Life Sciences,Neuroscience,Behavioral Neuroscience,47
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,279
Life Sciences,Neuroscience,Cognitive Neuroscience,1567
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,25
Life Sciences,Neuroscience,Neurology,90
Life Sciences,Neuroscience,Sensory Systems,77
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,61
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,44
Physical Sciences,Chemical Engineering,Catalysis,54
Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes,32
Physical Sciences,Chemistry,Analytical Chemistry,42
Physical Sciences,Chemistry,Electrochemistry,42
Physical Sciences,Chemistry,Inorganic Chemistry,127
Physical Sciences,Chemistry,Organic Chemistry,275
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,65
Physical Sciences,Chemistry,Spectroscopy,263
Physical Sciences,Computer Science,Artificial Intelligence,3161
Physical Sciences,Computer Science,Computational Theory and Mathematics,442
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,73
Physical Sciences,Computer Science,Computer Networks and Communications,785
Physical Sciences,Computer Science,Computer Science Applications,241
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,1371
Physical Sciences,Computer Science,Hardware and Architecture,271
Physical Sciences,Computer Science,Human-Computer Interaction,245
Physical Sciences,Computer Science,Information Systems,539
Physical Sciences,Computer Science,Signal Processing,325
Physical Sciences,Computer Science,Software,58
