Domain,Group,Field,numpub
Health Sciences,Health Professions,Emergency Medical Services,155
Health Sciences,Health Professions,General Health Professions,907
Health Sciences,Health Professions,Health Information Management,86
Health Sciences,Health Professions,Occupational Therapy,37
Health Sciences,Health Professions,Pharmacy,65
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",35
Health Sciences,Health Professions,Radiological and Ultrasound Technology,45
Health Sciences,Health Professions,Speech and Hearing,88
Health Sciences,Medicine,Anesthesiology and Pain Medicine,89
Health Sciences,Medicine,Biochemistry,47
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,1387
Health Sciences,Medicine,Complementary and alternative medicine,111
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,128
Health Sciences,Medicine,Dermatology,170
Health Sciences,Medicine,Emergency Medicine,284
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",765
Health Sciences,Medicine,Epidemiology,1559
Health Sciences,Medicine,Family Practice,74
Health Sciences,Medicine,Gastroenterology,127
Health Sciences,Medicine,Genetics,394
Health Sciences,Medicine,Geriatrics and Gerontology,57
Health Sciences,Medicine,Health Informatics,80
Health Sciences,Medicine,Hematology,327
Health Sciences,Medicine,Hepatology,190
Health Sciences,Medicine,Immunology and Allergy,158
Health Sciences,Medicine,Infectious Diseases,954
Health Sciences,Medicine,Internal Medicine,108
Health Sciences,Medicine,Nephrology,261
Health Sciences,Medicine,Neurology,773
Health Sciences,Medicine,Obstetrics and Gynecology,284
Health Sciences,Medicine,Oncology,1261
Health Sciences,Medicine,Ophthalmology,166
Health Sciences,Medicine,Orthopedics and Sports Medicine,264
Health Sciences,Medicine,Otorhinolaryngology,83
Health Sciences,Medicine,Pathology and Forensic Medicine,659
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",429
Health Sciences,Medicine,Pharmacology,206
Health Sciences,Medicine,Physiology,935
Health Sciences,Medicine,Psychiatry and Mental health,536
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",1294
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,1887
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",863
Health Sciences,Medicine,Rehabilitation,84
Health Sciences,Medicine,Reproductive Medicine,280
Health Sciences,Medicine,Rheumatology,256
Health Sciences,Medicine,Surgery,2837
Health Sciences,Medicine,Transplantation,52
Health Sciences,Medicine,Urology,53
Health Sciences,Nursing,Nutrition and Dietetics,392
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",197
Life Sciences,Agricultural and Biological Sciences,Food Science,69
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,40
Life Sciences,Agricultural and Biological Sciences,Insect Science,63
Life Sciences,Agricultural and Biological Sciences,Plant Science,288
Life Sciences,Agricultural and Biological Sciences,Soil Science,39
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,67
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,54
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,166
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,37
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,406
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,453
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,53
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,29
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,131
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,1072
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,3461
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,103
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,47
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,32
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,26
Life Sciences,Immunology and Microbiology,Immunology,900
Life Sciences,Immunology and Microbiology,Microbiology,119
Life Sciences,Immunology and Microbiology,Parasitology,118
Life Sciences,Immunology and Microbiology,Virology,91
Life Sciences,Neuroscience,Behavioral Neuroscience,32
Life Sciences,Neuroscience,Biological Psychiatry,33
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,418
Life Sciences,Neuroscience,Cognitive Neuroscience,815
Life Sciences,Neuroscience,Developmental Neuroscience,82
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,247
Life Sciences,Neuroscience,Neurology,260
Life Sciences,Neuroscience,Sensory Systems,98
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,28
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,47
Physical Sciences,Chemical Engineering,Catalysis,27
Physical Sciences,Chemistry,Inorganic Chemistry,88
Physical Sciences,Chemistry,Organic Chemistry,256
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,36
Physical Sciences,Chemistry,Spectroscopy,321
Physical Sciences,Computer Science,Artificial Intelligence,1368
Physical Sciences,Computer Science,Computational Theory and Mathematics,184
Physical Sciences,Computer Science,Computer Networks and Communications,407
Physical Sciences,Computer Science,Computer Science Applications,178
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,401
Physical Sciences,Computer Science,Hardware and Architecture,112
Physical Sciences,Computer Science,Human-Computer Interaction,101
Physical Sciences,Computer Science,Information Systems,500
Physical Sciences,Computer Science,Signal Processing,133
Physical Sciences,Computer Science,Software,69
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,343
Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,31
Physical Sciences,Earth and Planetary Sciences,Geophysics,50
Physical Sciences,Earth and Planetary Sciences,Oceanography,210
Physical Sciences,Earth and Planetary Sciences,Paleontology,27
Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",188
Physical Sciences,Engineering,Aerospace Engineering,382
Physical Sciences,Engineering,Architecture,57
Physical Sciences,Engineering,Automotive Engineering,142
Physical Sciences,Engineering,Biomedical Engineering,1260
Physical Sciences,Engineering,Building and Construction,147
Physical Sciences,Engineering,Civil and Structural Engineering,232
Physical Sciences,Engineering,Computational Mechanics,225
Physical Sciences,Engineering,Control and Systems Engineering,422
Physical Sciences,Engineering,Electrical and Electronic Engineering,1276
Physical Sciences,Engineering,Industrial and Manufacturing Engineering,128
Physical Sciences,Engineering,Mechanical Engineering,489
Physical Sciences,Engineering,Mechanics of Materials,157
Physical Sciences,Engineering,Media Technology,196
Physical Sciences,Engineering,Ocean Engineering,140
Physical Sciences,Engineering,"Safety, Risk, Reliability and Quality",81
Physical Sciences,Environmental Science,Ecological Modeling,28
Physical Sciences,Environmental Science,Ecology,389
Physical Sciences,Environmental Science,Environmental Chemistry,119
Physical Sciences,Environmental Science,Environmental Engineering,225
Physical Sciences,Environmental Science,Global and Planetary Change,519
Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",215
Physical Sciences,Environmental Science,Industrial and Manufacturing Engineering,69
Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",101
Physical Sciences,Environmental Science,Nature and Landscape Conservation,107
Physical Sciences,Environmental Science,Pollution,80
Physical Sciences,Environmental Science,Water Science and Technology,196
Physical Sciences,Materials Science,Biomaterials,189
Physical Sciences,Materials Science,Ceramics and Composites,60
Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",142
Physical Sciences,Materials Science,Materials Chemistry,1006
Physical Sciences,Materials Science,Metals and Alloys,65
Physical Sciences,Materials Science,Polymers and Plastics,54
Physical Sciences,Materials Science,"Surfaces, Coatings and Films",53
Physical Sciences,Mathematics,Algebra and Number Theory,100
Physical Sciences,Mathematics,Applied Mathematics,92
Physical Sciences,Mathematics,Computational Mathematics,47
Physical Sciences,Mathematics,Discrete Mathematics and Combinatorics,43
Physical Sciences,Mathematics,Geometry and Topology,330
Physical Sciences,Mathematics,Mathematical Physics,129
Physical Sciences,Mathematics,Modeling and Simulation,163
Physical Sciences,Mathematics,Statistics and Probability,307
Physical Sciences,Physics and Astronomy,Astronomy and Astrophysics,1983
Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",613
Physical Sciences,Physics and Astronomy,Condensed Matter Physics,122
Physical Sciences,Physics and Astronomy,Instrumentation,81
Physical Sciences,Physics and Astronomy,Nuclear and High Energy Physics,524
Physical Sciences,Physics and Astronomy,Radiation,116
