Domain,Group,Field,numpub
Health Sciences,Dentistry,Oral Surgery,50
Health Sciences,Health Professions,Emergency Medical Services,267
Health Sciences,Health Professions,General Health Professions,1763
Health Sciences,Health Professions,Health Information Management,137
Health Sciences,Health Professions,Occupational Therapy,66
Health Sciences,Health Professions,Pharmacy,94
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",89
Health Sciences,Health Professions,Radiological and Ultrasound Technology,106
Health Sciences,Health Professions,Speech and Hearing,336
Health Sciences,Medicine,Anesthesiology and Pain Medicine,244
Health Sciences,Medicine,Biochemistry,118
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,1252
Health Sciences,Medicine,Complementary and alternative medicine,85
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,229
Health Sciences,Medicine,Dermatology,316
Health Sciences,Medicine,Emergency Medicine,450
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",480
Health Sciences,Medicine,Epidemiology,2547
Health Sciences,Medicine,Family Practice,92
Health Sciences,Medicine,Gastroenterology,105
Health Sciences,Medicine,Genetics,418
Health Sciences,Medicine,Geriatrics and Gerontology,276
Health Sciences,Medicine,Health Informatics,95
Health Sciences,Medicine,Hematology,417
Health Sciences,Medicine,Hepatology,245
Health Sciences,Medicine,Immunology and Allergy,162
Health Sciences,Medicine,Infectious Diseases,1425
Health Sciences,Medicine,Internal Medicine,91
Health Sciences,Medicine,Nephrology,220
Health Sciences,Medicine,Neurology,731
Health Sciences,Medicine,Obstetrics and Gynecology,356
Health Sciences,Medicine,Oncology,1865
Health Sciences,Medicine,Ophthalmology,501
Health Sciences,Medicine,Orthopedics and Sports Medicine,455
Health Sciences,Medicine,Otorhinolaryngology,125
Health Sciences,Medicine,Pathology and Forensic Medicine,748
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",674
Health Sciences,Medicine,Pharmacology,510
Health Sciences,Medicine,Physiology,2385
Health Sciences,Medicine,Psychiatry and Mental health,1451
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",2518
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,2374
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",2157
Health Sciences,Medicine,Rehabilitation,146
Health Sciences,Medicine,Reproductive Medicine,285
Health Sciences,Medicine,Rheumatology,445
Health Sciences,Medicine,Surgery,2835
Health Sciences,Medicine,Transplantation,256
Health Sciences,Medicine,Urology,168
Health Sciences,Nursing,Nutrition and Dietetics,353
Health Sciences,Veterinary,Small Animals,337
