Domain,Group,Field,numpub
Health Sciences,Dentistry,Oral Surgery,322
Health Sciences,Dentistry,Orthodontics,386
Health Sciences,Dentistry,Periodontics,270
Health Sciences,Health Professions,Emergency Medical Services,590
Health Sciences,Health Professions,General Health Professions,3970
Health Sciences,Health Professions,Health Information Management,230
Health Sciences,Health Professions,Occupational Therapy,136
Health Sciences,Health Professions,Pharmacy,174
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",119
Health Sciences,Health Professions,Radiological and Ultrasound Technology,246
Health Sciences,Health Professions,Speech and Hearing,358
Health Sciences,Medicine,Anesthesiology and Pain Medicine,303
Health Sciences,Medicine,Biochemistry,124
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,3432
Health Sciences,Medicine,Complementary and alternative medicine,143
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,467
Health Sciences,Medicine,Dermatology,344
Health Sciences,Medicine,Emergency Medicine,1489
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",1569
Health Sciences,Medicine,Epidemiology,5449
Health Sciences,Medicine,Family Practice,153
Health Sciences,Medicine,Gastroenterology,262
Health Sciences,Medicine,Genetics,973
Health Sciences,Medicine,Geriatrics and Gerontology,310
Health Sciences,Medicine,Health Informatics,206
Health Sciences,Medicine,Hematology,1846
Health Sciences,Medicine,Hepatology,631
Health Sciences,Medicine,Immunology and Allergy,183
Health Sciences,Medicine,Infectious Diseases,4739
Health Sciences,Medicine,Internal Medicine,263
Health Sciences,Medicine,Nephrology,906
Health Sciences,Medicine,Neurology,1715
Health Sciences,Medicine,Obstetrics and Gynecology,587
Health Sciences,Medicine,Oncology,4428
Health Sciences,Medicine,Ophthalmology,673
Health Sciences,Medicine,Orthopedics and Sports Medicine,361
Health Sciences,Medicine,Otorhinolaryngology,177
Health Sciences,Medicine,Pathology and Forensic Medicine,1432
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",2352
Health Sciences,Medicine,Pharmacology,1114
Health Sciences,Medicine,Physiology,3001
Health Sciences,Medicine,Psychiatry and Mental health,1927
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",5676
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,5471
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",2531
Health Sciences,Medicine,Rehabilitation,215
Health Sciences,Medicine,Reproductive Medicine,479
Health Sciences,Medicine,Rheumatology,1154
