Domain,Group,Field,numpub
Health Sciences,Dentistry,Periodontics,23
Health Sciences,Health Professions,Emergency Medical Services,109
Health Sciences,Health Professions,General Health Professions,947
Health Sciences,Health Professions,Health Information Management,121
Health Sciences,Health Professions,Occupational Therapy,65
Health Sciences,Health Professions,Pharmacy,89
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",21
Health Sciences,Health Professions,Radiological and Ultrasound Technology,68
Health Sciences,Health Professions,Speech and Hearing,97
Health Sciences,Medicine,Anesthesiology and Pain Medicine,101
Health Sciences,Medicine,Biochemistry,54
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,1247
Health Sciences,Medicine,Complementary and alternative medicine,49
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,304
Health Sciences,Medicine,Dermatology,1412
Health Sciences,Medicine,Emergency Medicine,337
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",361
Health Sciences,Medicine,Epidemiology,1701
Health Sciences,Medicine,Family Practice,60
Health Sciences,Medicine,Gastroenterology,119
Health Sciences,Medicine,Genetics,421
Health Sciences,Medicine,Geriatrics and Gerontology,102
Health Sciences,Medicine,Health Informatics,88
Health Sciences,Medicine,Hematology,551
Health Sciences,Medicine,Hepatology,158
Health Sciences,Medicine,Immunology and Allergy,112
Health Sciences,Medicine,Infectious Diseases,1025
Health Sciences,Medicine,Internal Medicine,37
Health Sciences,Medicine,Nephrology,259
Health Sciences,Medicine,Neurology,447
Health Sciences,Medicine,Obstetrics and Gynecology,151
Health Sciences,Medicine,Oncology,1701
Health Sciences,Medicine,Ophthalmology,301
Health Sciences,Medicine,Orthopedics and Sports Medicine,94
Health Sciences,Medicine,Otorhinolaryngology,165
Health Sciences,Medicine,Pathology and Forensic Medicine,523
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",497
Health Sciences,Medicine,Pharmacology,463
Health Sciences,Medicine,Physiology,870
Health Sciences,Medicine,Psychiatry and Mental health,513
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",1304
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,1929
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",1369
Health Sciences,Medicine,Rehabilitation,67
Health Sciences,Medicine,Reproductive Medicine,111
Health Sciences,Medicine,Rheumatology,253
Health Sciences,Medicine,Surgery,2152
Health Sciences,Medicine,Transplantation,27
Health Sciences,Medicine,Urology,70
Health Sciences,Nursing,"Issues, ethics and legal aspects",34
Health Sciences,Nursing,Nutrition and Dietetics,336
Health Sciences,Veterinary,Small Animals,19
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",49
Life Sciences,Agricultural and Biological Sciences,Food Science,66
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,22
Life Sciences,Agricultural and Biological Sciences,Insect Science,95
Life Sciences,Agricultural and Biological Sciences,Plant Science,130
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,106
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,91
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,203
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,56
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,627
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,598
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,58
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,34
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,40
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,1152
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,4484
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,71
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,32
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,35
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,27
Life Sciences,Immunology and Microbiology,Immunology,731
Life Sciences,Immunology and Microbiology,Microbiology,82
Life Sciences,Immunology and Microbiology,Parasitology,20
Life Sciences,Immunology and Microbiology,Virology,103
Life Sciences,Neuroscience,Behavioral Neuroscience,51
Life Sciences,Neuroscience,Biological Psychiatry,36
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,800
Life Sciences,Neuroscience,Cognitive Neuroscience,2152
Life Sciences,Neuroscience,Developmental Neuroscience,59
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,145
Life Sciences,Neuroscience,Neurology,205
Life Sciences,Neuroscience,Sensory Systems,63
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,29
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,166
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Toxicology,21
Physical Sciences,Chemical Engineering,Catalysis,33
Physical Sciences,Chemistry,Inorganic Chemistry,62
Physical Sciences,Chemistry,Organic Chemistry,154
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,37
Physical Sciences,Chemistry,Spectroscopy,358
Physical Sciences,Computer Science,Artificial Intelligence,827
Physical Sciences,Computer Science,Computational Theory and Mathematics,321
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,21
Physical Sciences,Computer Science,Computer Networks and Communications,274
Physical Sciences,Computer Science,Computer Science Applications,133
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,330
Physical Sciences,Computer Science,Hardware and Architecture,52
Physical Sciences,Computer Science,Human-Computer Interaction,85
Physical Sciences,Computer Science,Information Systems,264
Physical Sciences,Computer Science,Signal Processing,91
Physical Sciences,Computer Science,Software,36
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,164
Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,24
Physical Sciences,Earth and Planetary Sciences,Geophysics,98
Physical Sciences,Earth and Planetary Sciences,Oceanography,24
Physical Sciences,Earth and Planetary Sciences,Paleontology,126
Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",69
Physical Sciences,Engineering,Aerospace Engineering,99
Physical Sciences,Engineering,Architecture,28
Physical Sciences,Engineering,Automotive Engineering,140
Physical Sciences,Engineering,Biomedical Engineering,1196
Physical Sciences,Engineering,Building and Construction,87
Physical Sciences,Engineering,Civil and Structural Engineering,195
Physical Sciences,Engineering,Computational Mechanics,101
Physical Sciences,Engineering,Control and Systems Engineering,273
Physical Sciences,Engineering,Electrical and Electronic Engineering,820
Physical Sciences,Engineering,Industrial and Manufacturing Engineering,77
Physical Sciences,Engineering,Mechanical Engineering,153
Physical Sciences,Engineering,Mechanics of Materials,100
Physical Sciences,Engineering,Media Technology,79
Physical Sciences,Engineering,Ocean Engineering,61
Physical Sciences,Engineering,"Safety, Risk, Reliability and Quality",55
Physical Sciences,Environmental Science,Ecological Modeling,24
Physical Sciences,Environmental Science,Ecology,162
Physical Sciences,Environmental Science,Environmental Chemistry,98
Physical Sciences,Environmental Science,Environmental Engineering,38
Physical Sciences,Environmental Science,Global and Planetary Change,173
Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",185
Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",88
Physical Sciences,Environmental Science,Nature and Landscape Conservation,31
Physical Sciences,Environmental Science,Pollution,45
Physical Sciences,Environmental Science,Water Science and Technology,121
Physical Sciences,Materials Science,Biomaterials,150
Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",131
Physical Sciences,Materials Science,Materials Chemistry,615
Physical Sciences,Materials Science,Polymers and Plastics,50
Physical Sciences,Mathematics,Algebra and Number Theory,48
Physical Sciences,Mathematics,Applied Mathematics,116
Physical Sciences,Mathematics,Discrete Mathematics and Combinatorics,32
Physical Sciences,Mathematics,Geometry and Topology,178
Physical Sciences,Mathematics,Mathematical Physics,99
Physical Sciences,Mathematics,Modeling and Simulation,101
Physical Sciences,Mathematics,Numerical Analysis,41
Physical Sciences,Mathematics,Statistics and Probability,411
Physical Sciences,Physics and Astronomy,Astronomy and Astrophysics,893
Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",214
Physical Sciences,Physics and Astronomy,Condensed Matter Physics,64
Physical Sciences,Physics and Astronomy,Instrumentation,16
Physical Sciences,Physics and Astronomy,Nuclear and High Energy Physics,391
Physical Sciences,Physics and Astronomy,Radiation,90
Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,87
Social Sciences,Arts and Humanities,Archeology,64
Social Sciences,Arts and Humanities,Classics,19
Social Sciences,Arts and Humanities,History,195
Social Sciences,Arts and Humanities,History and Philosophy of Science,111
Social Sciences,Arts and Humanities,Language and Linguistics,31
Social Sciences,Arts and Humanities,Literature and Literary Theory,131
Social Sciences,Arts and Humanities,Museology,16
Social Sciences,Arts and Humanities,Music,32
Social Sciences,Arts and Humanities,Philosophy,306
Social Sciences,Arts and Humanities,Religious studies,79
Social Sciences,Arts and Humanities,Visual Arts and Performing Arts,52
Social Sciences,"Business, Management and Accounting",Accounting,170
Social Sciences,"Business, Management and Accounting",Management Information Systems,52
Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation,65
Social Sciences,"Business, Management and Accounting",Marketing,76
Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,80
Social Sciences,"Business, Management and Accounting",Strategy and Management,161
Social Sciences,Decision Sciences,General Decision Sciences,51
Social Sciences,Decision Sciences,Information Systems and Management,135
Social Sciences,Decision Sciences,Management Science and Operations Research,197
Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",188
Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,997
Social Sciences,"Economics, Econometrics and Finance",Finance,147
Social Sciences,"Economics, Econometrics and Finance","General Economics, Econometrics and Finance",128
Social Sciences,Psychology,Applied Psychology,115
Social Sciences,Psychology,Clinical Psychology,1000
Social Sciences,Psychology,Developmental and Educational Psychology,771
Social Sciences,Psychology,Experimental and Cognitive Psychology,562
Social Sciences,Psychology,Neuropsychology and Physiological Psychology,20
Social Sciences,Psychology,Social Psychology,643
Social Sciences,Social Sciences,Anthropology,163
Social Sciences,Social Sciences,Communication,103
Social Sciences,Social Sciences,Cultural Studies,95
Social Sciences,Social Sciences,Demography,126
Social Sciences,Social Sciences,Education,934
Social Sciences,Social Sciences,Gender Studies,410
Social Sciences,Social Sciences,General Social Sciences,17
Social Sciences,Social Sciences,"Geography, Planning and Development",37
Social Sciences,Social Sciences,Health,313
Social Sciences,Social Sciences,Law,162
Social Sciences,Social Sciences,Linguistics and Language,35
Social Sciences,Social Sciences,Political Science and International Relations,687
Social Sciences,Social Sciences,Public Administration,43
Social Sciences,Social Sciences,Safety Research,372
Social Sciences,Social Sciences,Sociology and Political Science,1491
Social Sciences,Social Sciences,Transportation,35
Social Sciences,Social Sciences,Urban Studies,32
