Domain,Group,Field,numpub
Health Sciences,Dentistry,Periodontics,43
Health Sciences,Health Professions,Emergency Medical Services,417
Health Sciences,Health Professions,General Health Professions,2654
Health Sciences,Health Professions,Health Information Management,172
Health Sciences,Health Professions,Occupational Therapy,51
Health Sciences,Health Professions,Pharmacy,227
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",53
Health Sciences,Health Professions,Radiological and Ultrasound Technology,94
Health Sciences,Health Professions,Speech and Hearing,145
Health Sciences,Medicine,Anesthesiology and Pain Medicine,202
Health Sciences,Medicine,Biochemistry,93
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,3519
Health Sciences,Medicine,Complementary and alternative medicine,115
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,381
Health Sciences,Medicine,Dermatology,754
Health Sciences,Medicine,Emergency Medicine,1036
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",1478
Health Sciences,Medicine,Epidemiology,4530
Health Sciences,Medicine,Family Practice,125
Health Sciences,Medicine,Gastroenterology,240
Health Sciences,Medicine,Genetics,866
Health Sciences,Medicine,Geriatrics and Gerontology,323
Health Sciences,Medicine,Health Informatics,292
Health Sciences,Medicine,Hematology,1252
Health Sciences,Medicine,Hepatology,958
Health Sciences,Medicine,Immunology and Allergy,164
Health Sciences,Medicine,Infectious Diseases,2758
Health Sciences,Medicine,Internal Medicine,333
Health Sciences,Medicine,Nephrology,727
Health Sciences,Medicine,Neurology,1978
Health Sciences,Medicine,Obstetrics and Gynecology,729
Health Sciences,Medicine,Oncology,3810
Health Sciences,Medicine,Ophthalmology,415
Health Sciences,Medicine,Orthopedics and Sports Medicine,180
Health Sciences,Medicine,Otorhinolaryngology,260
Health Sciences,Medicine,Pathology and Forensic Medicine,1238
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",1353
Health Sciences,Medicine,Pharmacology,1154
Health Sciences,Medicine,Physiology,2666
Health Sciences,Medicine,Psychiatry and Mental health,2009
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",4343
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,4205
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",2172
Health Sciences,Medicine,Rehabilitation,156
Health Sciences,Medicine,Reproductive Medicine,887
Health Sciences,Medicine,Rheumatology,600
Health Sciences,Medicine,Surgery,4592
Health Sciences,Medicine,Transplantation,149
Health Sciences,Medicine,Urology,269
Health Sciences,Nursing,Nutrition and Dietetics,528
Health Sciences,Veterinary,Small Animals,83
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",528
Life Sciences,Agricultural and Biological Sciences,Food Science,206
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,66
Life Sciences,Agricultural and Biological Sciences,Insect Science,206
Life Sciences,Agricultural and Biological Sciences,Plant Science,517
