Domain,Group,Field,numpub
Health Sciences,Dentistry,General Dentistry,3
Health Sciences,Dentistry,Oral Surgery,1
Health Sciences,Dentistry,Orthodontics,1
Health Sciences,Dentistry,Periodontics,3
Health Sciences,Health Professions,Complementary and Manual Therapy,1
Health Sciences,Health Professions,Emergency Medical Services,24
Health Sciences,Health Professions,General Health Professions,134
Health Sciences,Health Professions,Health Information Management,7
Health Sciences,Health Professions,Medical Laboratory Technology,1
Health Sciences,Health Professions,Occupational Therapy,2
Health Sciences,Health Professions,Pharmacy,5
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",2
Health Sciences,Health Professions,Radiological and Ultrasound Technology,7
Health Sciences,Health Professions,Speech and Hearing,4
Health Sciences,Medicine,Anatomy,1
Health Sciences,Medicine,Anesthesiology and Pain Medicine,15
Health Sciences,Medicine,Biochemistry,3
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,130
Health Sciences,Medicine,Complementary and alternative medicine,15
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,17
Health Sciences,Medicine,Dermatology,14
Health Sciences,Medicine,Emergency Medicine,33
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",73
Health Sciences,Medicine,Epidemiology,174
Health Sciences,Medicine,Family Practice,4
Health Sciences,Medicine,Gastroenterology,7
Health Sciences,Medicine,Genetics,33
Health Sciences,Medicine,Geriatrics and Gerontology,1
Health Sciences,Medicine,Health Informatics,5
Health Sciences,Medicine,Hematology,39
Health Sciences,Medicine,Hepatology,31
Health Sciences,Medicine,Immunology and Allergy,20
Health Sciences,Medicine,Infectious Diseases,115
Health Sciences,Medicine,Internal Medicine,11
Health Sciences,Medicine,Nephrology,30
Health Sciences,Medicine,Neurology,67
Health Sciences,Medicine,Obstetrics and Gynecology,27
Health Sciences,Medicine,Oncology,146
Health Sciences,Medicine,Ophthalmology,24
Health Sciences,Medicine,Orthopedics and Sports Medicine,33
Health Sciences,Medicine,Otorhinolaryngology,16
Health Sciences,Medicine,Pathology and Forensic Medicine,57
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",50
Health Sciences,Medicine,Pharmacology,22
Health Sciences,Medicine,Physiology,107
Health Sciences,Medicine,Psychiatry and Mental health,53
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",138
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,215
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",83
Health Sciences,Medicine,Rehabilitation,11
Health Sciences,Medicine,Reproductive Medicine,31
Health Sciences,Medicine,Rheumatology,30
Health Sciences,Medicine,Surgery,269
Health Sciences,Medicine,Transplantation,3
Health Sciences,Medicine,Urology,8
Health Sciences,Nursing,"Issues, ethics and legal aspects",5
Health Sciences,Nursing,Nutrition and Dietetics,48
Life Sciences,Agricultural and Biological Sciences,Aquatic Science,1
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",20
Life Sciences,Agricultural and Biological Sciences,Food Science,6
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,4
Life Sciences,Agricultural and Biological Sciences,Insect Science,7
Life Sciences,Agricultural and Biological Sciences,Plant Science,30
Life Sciences,Agricultural and Biological Sciences,Soil Science,2
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,6
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,5
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,21
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,5
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,42
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,44
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,4
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,6
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,21
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,109
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,386
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,11
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,4
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,4
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,4
Life Sciences,Immunology and Microbiology,Immunology,70
Life Sciences,Immunology and Microbiology,Microbiology,12
Life Sciences,Immunology and Microbiology,Parasitology,19
Life Sciences,Immunology and Microbiology,Virology,8
Life Sciences,Neuroscience,Behavioral Neuroscience,3
Life Sciences,Neuroscience,Biological Psychiatry,11
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,45
Life Sciences,Neuroscience,Cognitive Neuroscience,104
Life Sciences,Neuroscience,Developmental Neuroscience,12
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,23
Life Sciences,Neuroscience,Neurology,28
Life Sciences,Neuroscience,Sensory Systems,17
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,3
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,3
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Toxicology,1
Physical Sciences,Chemical Engineering,Bioengineering,1
Physical Sciences,Chemical Engineering,Catalysis,4
Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes,1
Physical Sciences,Chemical Engineering,Process Chemistry and Technology,4
Physical Sciences,Chemistry,Analytical Chemistry,1
Physical Sciences,Chemistry,Electrochemistry,2
Physical Sciences,Chemistry,Inorganic Chemistry,15
Physical Sciences,Chemistry,Organic Chemistry,39
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,2
Physical Sciences,Chemistry,Spectroscopy,40
Physical Sciences,Computer Science,Artificial Intelligence,174
Physical Sciences,Computer Science,Computational Theory and Mathematics,19
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,1
Physical Sciences,Computer Science,Computer Networks and Communications,43
Physical Sciences,Computer Science,Computer Science Applications,12
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,42
Physical Sciences,Computer Science,Hardware and Architecture,11
Physical Sciences,Computer Science,Human-Computer Interaction,10
Physical Sciences,Computer Science,Information Systems,45
