Domain,Group,Field,numpub
Health Sciences,Dentistry,General Dentistry,4
Health Sciences,Dentistry,Oral Surgery,4
Health Sciences,Dentistry,Orthodontics,3
Health Sciences,Dentistry,Periodontics,26
Health Sciences,Health Professions,Complementary and Manual Therapy,3
Health Sciences,Health Professions,Emergency Medical Services,154
Health Sciences,Health Professions,General Health Professions,905
Health Sciences,Health Professions,Health Information Management,86
Health Sciences,Health Professions,Medical Laboratory Technology,10
Health Sciences,Health Professions,Occupational Therapy,37
Health Sciences,Health Professions,Pharmacy,64
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",35
Health Sciences,Health Professions,Radiological and Ultrasound Technology,45
Health Sciences,Health Professions,Speech and Hearing,87
Health Sciences,Medicine,Anatomy,8
Health Sciences,Medicine,Anesthesiology and Pain Medicine,89
Health Sciences,Medicine,Biochemistry,47
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,1374
Health Sciences,Medicine,Complementary and alternative medicine,109
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,128
Health Sciences,Medicine,Dermatology,169
Health Sciences,Medicine,Emergency Medicine,283
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",758
Health Sciences,Medicine,Epidemiology,1553
Health Sciences,Medicine,Family Practice,74
Health Sciences,Medicine,Gastroenterology,126
Health Sciences,Medicine,Genetics,393
Health Sciences,Medicine,Geriatrics and Gerontology,56
Health Sciences,Medicine,Health Informatics,79
Health Sciences,Medicine,Hematology,324
Health Sciences,Medicine,Hepatology,190
Health Sciences,Medicine,Immunology and Allergy,157
Health Sciences,Medicine,Infectious Diseases,951
Health Sciences,Medicine,Internal Medicine,108
Health Sciences,Medicine,Microbiology,2
Health Sciences,Medicine,Nephrology,261
Health Sciences,Medicine,Neurology,767
Health Sciences,Medicine,Obstetrics and Gynecology,284
Health Sciences,Medicine,Oncology,1254
Health Sciences,Medicine,Ophthalmology,165
Health Sciences,Medicine,Orthopedics and Sports Medicine,263
Health Sciences,Medicine,Otorhinolaryngology,82
Health Sciences,Medicine,Pathology and Forensic Medicine,657
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",428
Health Sciences,Medicine,Pharmacology,200
Health Sciences,Medicine,Physiology,933
Health Sciences,Medicine,Psychiatry and Mental health,531
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",1287
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,1883
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",855
Health Sciences,Medicine,Rehabilitation,84
Health Sciences,Medicine,Reproductive Medicine,280
Health Sciences,Medicine,Rheumatology,254
Health Sciences,Medicine,Surgery,2827
Health Sciences,Medicine,Transplantation,52
Health Sciences,Medicine,Urology,53
Health Sciences,Nursing,"Issues, ethics and legal aspects",16
Health Sciences,Nursing,Leadership and Management,2
Health Sciences,Nursing,Nutrition and Dietetics,391
Health Sciences,Nursing,Research and Theory,9
Health Sciences,Veterinary,Small Animals,11
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,13
Life Sciences,Agricultural and Biological Sciences,Animal Science and Zoology,12
Life Sciences,Agricultural and Biological Sciences,Aquatic Science,8
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",196
Life Sciences,Agricultural and Biological Sciences,Food Science,69
Life Sciences,Agricultural and Biological Sciences,Forestry,4
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,40
Life Sciences,Agricultural and Biological Sciences,Insect Science,63
Life Sciences,Agricultural and Biological Sciences,Plant Science,287
Life Sciences,Agricultural and Biological Sciences,Soil Science,39
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,66
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,54
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,163
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,37
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,405
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,452
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,53
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,29
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,131
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,1068
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,3444
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,102
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,47
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,31
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,26
Life Sciences,Immunology and Microbiology,Immunology,898
Life Sciences,Immunology and Microbiology,Microbiology,119
Life Sciences,Immunology and Microbiology,Parasitology,117
Life Sciences,Immunology and Microbiology,Virology,91
Life Sciences,Neuroscience,Behavioral Neuroscience,30
Life Sciences,Neuroscience,Biological Psychiatry,33
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,414
Life Sciences,Neuroscience,Cognitive Neuroscience,805
Life Sciences,Neuroscience,Developmental Neuroscience,82
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,246
Life Sciences,Neuroscience,Neurology,259
Life Sciences,Neuroscience,Sensory Systems,98
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,28
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,47
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Toxicology,12
Physical Sciences,Chemical Engineering,Bioengineering,12
Physical Sciences,Chemical Engineering,Catalysis,27
Physical Sciences,Chemical Engineering,Chemical Health and Safety,3
Physical Sciences,Chemical Engineering,Filtration and Separation,1
Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes,17
Physical Sciences,Chemical Engineering,Process Chemistry and Technology,15
Physical Sciences,Chemistry,Analytical Chemistry,10
Physical Sciences,Chemistry,Electrochemistry,20
Physical Sciences,Chemistry,Inorganic Chemistry,87
Physical Sciences,Chemistry,Organic Chemistry,251
Physical Sciences,Chemistry,Physical and Theoretical Chemistry,36
Physical Sciences,Chemistry,Spectroscopy,318
Physical Sciences,Computer Science,Artificial Intelligence,1363
Physical Sciences,Computer Science,Computational Theory and Mathematics,184
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,9
Physical Sciences,Computer Science,Computer Networks and Communications,406
Physical Sciences,Computer Science,Computer Science Applications,176
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,397
Physical Sciences,Computer Science,Hardware and Architecture,112
Physical Sciences,Computer Science,Human-Computer Interaction,101
Physical Sciences,Computer Science,Information Systems,500
Physical Sciences,Computer Science,Signal Processing,133
Physical Sciences,Computer Science,Software,69
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,342
Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,31
Physical Sciences,Earth and Planetary Sciences,Geochemistry and Petrology,9
